air_name,air_hindex,air_research_gate_score,air_link,air_designation,air_education,air_papers,air_citations,air_city,air_expertise,,,,,,,,,,,
A.P. Ruhil,7,,https://scholar.google.com/citations?hl=en&user=ePIz4nYAAAAJ&view_op=list_works&sortby=pubdate,"Data Scientist, Flipkart
",IISc Bangalore,29,175,Karnal,"Machine Learning, Image Processing, Genetic Algorithms, Multiagent Systems",,,,,,,,,,,
Suja George,5,,https://scholar.google.com/citations?user=jG50GoEAAAAJ&hl=en,PhD Student at IIIT Hyderabad,,17,87,Jaipur,"Information RetrievalText Mining, Machine Learning, ",,,,,,,,,,,
Ravindra Nagar,3,,https://scholar.google.com/citations?user=SVrpNx4AAAAJ&hl=en,"Project Scholar at Indian Institute of Technology, Bhubaneswar",,17,69,Jaipur,"computer vision, Visual Surveillance, Machine Learning, On board camera embedded systems",,,,,,,,,,,
Sourangshu Bhattacharya,6,,https://scholar.google.com/citations?hl=en&user=Wgxv7k8AAAAJ&view_op=list_works&sortby=pubdate,"Data Scientist, Flipkart","PhD, IIIT Bangalore ",18,74,Kharagpur,"Semanticsm, Cognition, Text Mining, Machine Learning",,,,,,,,,,,
Anand Mishra,5,,https://scholar.google.com/citations?user=dM2nO6AAAAAJ&hl=en,Data Scientist at Myntra.com,IIIT Hyderabad ,15,349,Bengaluru,"Machine Learning, computer vision, ",,,,,,,,,,,
Pankaj Malhotra,3,,https://scholar.google.com/citations?hl=en&user=viwjM6IAAAAJ&view_op=list_works&sortby=pubdate,"Data Scientist, Flipkart","Masters, IISc",5,38,Pune,Artificial Intelligence,,,,,,,,,,,
Pravin Chandra,6,,https://scholar.google.com/citations?user=C_2h8iMAAAAJ&hl=en,IIT Delhi,,55,217,New Delhi,"Natural Language Processingdeep learning, ",,,,,,,,,,,
Vijay Gabale,5,,https://scholar.google.com/citations?user=z5aYHxAAAAAJ&hl=en,"ML engineer/scientist in industry, Myntra designs Pvt Ltd, Bangalore",,24,138,Bengaluru,"Data Mining, Machine Learning, Big Data",,,,,,,,,,,
Mohit Kumar,2,,https://scholar.google.com/citations?user=RuELzwYAAAAJ&hl=en,Working in Data-Text analytics space as a consultant as well as an instructor.,,6,6,Bengaluru,"Computer-aided DesignGeometric ModelingMidsurface, Machine Learning, Text Mining",,,,,,,,,,,
Nikhil Ketkar,5,,https://scholar.google.com/citations?user=Zx1n2xQAAAAJ&hl=en,"Director, Y P Consulting Services, India",,13,91,Bengaluru,Model and data couplingApproximations in high dimensionsInverse design,,,,,,,,,,,
Uma Sawant,3,,https://scholar.google.com/citations?hl=en&user=XbMnDucAAAAJ&view_op=list_works&sortby=pubdate,"Research Scholar, IIT Madras",,3,86,Bengaluru,"Computer Vision, Face Recogniton, Domain Adaptation, Transfer Learning, Deep Learning",,,,,,,,,,,
